Stone,2.4,2.88
Smooth Stone,4.08,4.896
Granite,1,1.2
Polished Granite,1.2,1.44
Diorite,1,1.2
Polished Diorite,1.2,1.44
Andesite,1,1.2
Polished Andesite,1.2,1.44
Grass Block,1,1.2
Dirt,0.5,0.6
Coarse Dirt,0.6,0.72
Podzol,2.5,3
Cobblestone,1,1.2
Oak Wood Planks,3,3.6
Spruce Wood Planks,3,3.6
Birch Wood Planks,3,3.6
Jungle Wood Planks,3,3.6
Acacia Wood Planks,3,3.6
Dark Oak Wood Planks,3,3.6
Oak Sapling,5,6
Spruce Sapling,5,6
Birch Sapling,5,6
Jungle Sapling,5,6
Acacia Sapling,5,6
Dark Oak Sapling,5,6
Bedrock,,
Water,,
Lava,,
Sand,0.5,0.6
Red Sand,1.5,1.8
Gravel,0.5,0.6
Gold Ore,50,60
Iron Ore,15,18
Coal Ore,10,12
Oak Log,10,12
Spruce Log,10,12
Birch Log,10,12
Jungle Log,10,12
Acacia Log,,
Dark Oak Log,,
Stripped Oak Log,10,12
Stripped Spruce Log,10,12
Stripped Birch Log,10,12
Stripped Jungle Log,10,12
Oak Wood,16,19.2
Spruce Wood,16,19.2
Birch Wood,16,19.2
Jungle Wood,16,19.2
Stripped Oak Wood,10,12
Stripped Spruce Wood,10,12
Stripped Birch Wood,10,12
Stripped Jungle Wood,10,12
Oak Leaves,2,2.4
Spruce Leaves,2,2.4
Birch Leaves,2,2.4
Jungle Leaves,2,2.4
Acacia Leaves,,
Dark Oak Leaves,,
Sponge,13.2,15.84
Wet Sponge,10,12
Glass,1.8,2.16
Lapis Lazuli Ore,20,24
Lapis Lazuli Block,32.4,38.88
Dispenser,26.256,31.5072
Sandstone,2.4,2.88
Chiseled Sandstone,3.456,4.1472
Cut Sandstone,2.88,3.456
Smooth Sandstone,4.08,4.896
Note Block,32.4,38.88
Bed (Block),,
Powered Rail,74.4,89.28
Detector Rail,24.792,29.7504
Sticky Piston,62.688,75.2256
Cobweb,2.25,2.7
Tall Grass (Dead Shrub),,
Tall Grass,0.2,0.24
Tall Grass (Fern),0.2,0.24
Dead Bush,3,3.6
Piston,42.24,50.688
Piston (Head),,
Wool,5,6
Orange Wool,6.864,8.2368
Magenta Wool,8.3328,9.99936
Light Blue Wool,9.024,10.8288
Yellow Wool,6.72,8.064
Lime Wool,12.696,15.2352
Pink Wool,7.944,9.5328
Gray Wool,10.104,12.1248
Light Gray Wool,9.564,11.4768
Cyan Wool,12.696,15.2352
Purple Wool,13.2,15.84
Blue Wool,8.52,10.224
Brown Wool,13.2,15.84
Green Wool,14.64,17.568
Red Wool,6.72,8.064
Black Wool,10.32,12.384
Piston Moving Piece,,
Dandelion,1,1.2
Poppy,1,1.2
Blue Orchid,2.5,3
Allium,5,6
Azure Bluet,1.75,2.1
Red Tulip,1.75,2.1
Orange Tulip,1.75,2.1
White Tulip,1.75,2.1
Pink Tulip,1.75,2.1
Oxeye Daisy,1.5,1.8
Cornflower,1.75,2.1
Wither Rose,25,30
Lily of the Valley,1.75,2.1
Mushroom (Brown),1,1.2
Mushroom (Red),1,1.2
Block of Gold,660.96,793.152
Block of Iron,207.36,248.832
Stone Slab (Double),,
Sandstone Slab (Double),,
Wooden Slab (Double),,
Cobblestone Slab (Double),,
Bricks Slab (Double),,
Stone Bricks Slab (Double),,
Nether Brick Slab (Double),,
Quartz Slab (Double),,
"Stone Slab (Double, Smooth)",,
"Stone Slab (Double, Cut, Sandstone)",,
Smooth Stone Slab,2.448,2.9376
Sandstone Slab,1.44,1.728
Wooden Slab,,
Cobblestone Slab,0.6,0.72
Bricks Slab,13.824,16.5888
Stone Bricks Slab,1.728,2.0736
Nether Brick Slab,20.736,24.8832
Quartz Slab,50.4,60.48
Stone Slab,1.44,1.728
Andesite Slab,0.6,0.72
Polished Andesite Slab,0.72,0.864
Diorite Slab,0.6,0.72
Polished Diorite Slab,0.72,0.864
Granite Slab,0.6,0.72
Polished Granite Slab,0.72,0.864
Mossy Stone Brick Slab,5.6736,6.80832
Mossy Cobblestone Slab,4.32,5.184
Smooth Sandstone Slab,2.448,2.9376
Smooth Red Sandstone Slab,5.904,7.0848
Smooth Quartz Slab,61.2,73.44
Red Nether Brick Slab,23.76,28.512
End Stone Brick Slab,35.831808,42.9981696
Bricks (Block),23.04,27.648
TNT,62.4,74.88
Bookshelf,61.776,74.1312
Moss Stone,7.2,8.64
Obsidian,50,60
Torch,2.94,3.528
Fire,,
Mob Spawner,,
Oak Wood Stairs,5.4,6.48
Chest,28.8,34.56
Redstone (Wire),,
Diamond Ore,505,606
Block of Diamond,5400,6480
Crafting Table,14.4,17.28
Wheat (Crop),,
Farmland,,
Furnace,9.6,11.52
Furnace (Smelting),,
Sign (Block),,
Wooden Door (Block),,
Ladder,5.04,6.048
Rail,8.775,10.53
Cobblestone Stairs,1.8,2.16
Sign (Wall Block),,
Lever,3.36,4.032
Pressure Plate (Stone),5.76,6.912
Iron Door (Block),,
Oak Pressure Plate,7.2,8.64
Spruce Pressure Plate,7.2,8.64
Birch Pressure Plate,7.2,8.64
Jungle Pressure Plate,7.2,8.64
Acacia Pressure Plate,7.2,8.64
Dark Oak Pressure Plate,7.2,8.64
Redstone Ore,15,18
Redstone Ore (Glowing),,
Redstone Torch (Off),,
Redstone Torch,5.76,6.912
Button (Stone),5.76,6.912
Snow,,
Ice,7,8.4
Snow (Block),4.8,5.76
Cactus,5,6
Clay (Block),14.4,17.28
Sugar Cane (Block),,
Jukebox,628.8,754.56
Oak Fence,6.24,7.488
Pumpkin,5,6
Carved Pumpkin,3,3.6
Netherrack,5,6
Soul Sand,10,12
Glowstone,38.4,46.08
Portal,,
Jack o`Lantern,9.528,11.4336
Cake (Block),,
Redstone Repeater (Block Off),,
Redstone Repeater (Block On),,
White Stained Glass,2.46,2.952
Orange Stained Glass,2.268,2.7216
Magenta Stained Glass,2.4516,2.94192
Light Blue Stained Glass,2.538,3.0456
Yellow Stained Glass,2.25,2.7
Lime Stained Glass,2.997,3.5964
Pink Stained Glass,2.403,2.8836
Gray Stained Glass,2.673,3.2076
Light Gray Stained Glass,2.6055,3.1266
Cyan Stained Glass,2.997,3.5964
Purple Stained Glass,2.403,2.8836
Blue Stained Glass,2.475,2.97
Brown Stained Glass,3.06,3.672
Green Stained Glass,3.24,3.888
Red Stained Glass,2.25,2.7
Black Stained Glass,2.7,3.24
Oak Trapdoor,10.8,12.96
Spruce Trapdoor,10.8,12.96
Birch Trapdoor,10.8,12.96
Jungle Trapdoor,10.8,12.96
Acacia Trapdoor,10.8,12.96
Dark Oak Trapdoor,10.8,12.96
Stone Monster Egg,,
Cobblestone Monster Egg,,
Stone Brick Monster Egg,,
Mossy Stone Brick Monster Egg,,
Cracked Stone Monster Egg,,
Chiseled Stone Monster Egg,,
Stone Bricks,2.88,3.456
Mossy Stone Bricks,9.456,11.3472
Cracked Stone Bricks,4.656,5.5872
Chiseled Stone Brick,4.1472,4.97664
"Mushroom (Brown, Block)",2,2.4
"Mushroom (Red, Block)",2,2.4
Mushroom Stem,2,2.4
Iron Bars,8.64,10.368
Glass Pane,0.81,0.972
Melon (Block),16.2,19.44
Pumpkin Vine,,
Melon Vine,,
Vines,5,6
Oak Fence Gate,15.84,19.008
Brick Stairs,41.472,49.7664
Stone Brick Stairs,5.184,6.2208
Stone Stairs,4.32,5.184
Andesite Stairs,1.8,2.16
Polished Andesite Stairs,2.16,2.592
